id_poliza,target_siniestro,edad_conductor_scaled,exposicion_anios_scaled,antiguedad_cliente_anios_scaled,antiguedad_vehiculo_anios_scaled,ncd_score_scaled,score_riesgo_total_scaled,prima_anual_log_scaled,suma_asegurada_log_scaled,monto_siniestros_previos_3anios_log_scaled,severidad_previa_log_scaled,carga_siniestral_previa_log_scaled,ratio_sa_prima_log_scaled,tasa_prima_scaled,es_renovacion,tiene_siniestro_previo,es_conductor_joven,es_adulto_mayor,es_uso_comercial,vehiculo_antiguo,poliza_anual,inicio_en_temporada_alta,inicio_en_verano,sexo_M,cobertura_Total_Plus,uso_Transporte,score_riesgo_edad,score_riesgo_vehiculo
POL-2024000,1,0.0965067420226343,-0.19356850828569888,-0.8175086969598776,-0.4328305447245431,-0.0456409020747586,-1.0863099865771901,-0.6656906662623654,-0.245794834433958,1.664511361505136,-0.24911339237709276,0.5573751507903377,0.27221855345171286,-0.45319240116858384,1,0,0,0,0,0,1,0,1,0,0,0,1.0,2.0
POL-2024001,0,1.1432798227728616,-1.2473823197082188,-0.8672855492039556,0.2583160336779207,-0.11219171881917979,0.46470921446657376,-0.15762513392181973,0.6666057901044755,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,0.5869126840155873,-0.6095619447793704,1,0,0,0,1,1,0,1,1,0,0,0,2.0,3.0
POL-2024002,1,-1.3444392753361518,-0.19356850828569888,-0.43460983354389277,-0.4328305447245431,0.46628845749771297,0.584018383777632,1.5010982403284827,-0.6567824360137915,1.2850789423722433,-0.24911339237709276,-0.27462663941096727,-1.5048693987304627,1.6096279948153844,1,0,1,0,0,0,1,1,0,1,0,0,3.0,2.0
POL-2024003,1,1.18288083245803,-1.2473823197082188,0.6614381629843636,-1.2967637677276227,1.0591666470525811,-0.4897641400218962,-0.36273690933319974,-0.0578423166909316,1.1486690142778215,-0.24911339237709276,-0.23556398140294058,0.19532229764375636,-0.4093761444460027,1,0,0,0,1,0,0,0,1,0,0,0,2.0,1.0
POL-2024004,0,-1.68982540104391,1.6748148979120658,0.18664357234854265,-0.9511904785263909,1.0591666470525811,0.584018383777632,-0.12813632830843708,1.012120779063791,2.1829659166443762,-0.24911339237709276,3.7553027385806965,0.8244032816353483,-0.7066882135681383,1,0,1,0,0,0,1,0,0,0,0,0,3.0,2.0
POL-2024005,0,0.0636419865622627,1.88557766019657,0.4211691261908333,-0.26004390012392714,1.0591666470525811,-0.2511458013997788,0.059977505998410625,0.5800776703503379,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,0.36628680184282736,-0.503631717331658,1,0,0,0,1,0,1,0,0,0,1,0,1.0,3.0
POL-2024006,1,1.6274736112946122,-0.19356850828569888,-0.5494794925686882,1.4678225458822323,-1.2781108352454835,1.1805642303329258,-1.0104890164689948,1.8464495173386262,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,2.1012754928693895,-1.0266682943854963,1,1,0,0,0,1,1,0,1,1,0,0,2.0,4.0
POL-2024007,1,-0.8820872808160142,-0.19356850828569888,-0.5485222454101483,1.1222492566810005,0.31398947302490265,0.584018383777632,0.9389105260933911,1.653135935063388,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,0.534798186019407,-0.5860034855279872,1,0,0,0,0,1,1,0,0,1,0,0,2.0,4.0
POL-2024008,1,1.4860122725738818,-0.19356850828569888,-0.04309574570104824,-0.6056171893251591,0.9897362276605649,-0.012527462777661643,-0.1929789401801422,1.1750626051075834,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,0.9939103464800693,-0.7668362146436487,1,0,0,0,1,0,1,0,0,1,0,0,2.0,2.0
POL-2024009,0,-0.8486101386079337,-0.19356850828569888,1.7163245316954021,1.2950359012816164,-1.2781108352454835,1.1805642303329258,0.9425439031197654,-2.0816455503356908,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-2.0784134288280582,3.238502004441237,1,1,0,0,0,1,1,0,0,0,1,0,2.0,4.0
POL-2024010,0,-0.8912730820316461,-0.19356850828569888,1.4023474636942945,0.9494626120803845,-1.2781108352454835,1.1805642303329258,1.8401735768430199,1.4813706197075966,1.845533597609775,4.2698016604529,0.18372286005796568,-0.2325213785440888,-0.11583293964037977,1,1,0,0,0,1,1,1,1,1,0,0,2.0,4.0
POL-2024011,0,-0.8667776121232945,-1.2473823197082188,1.116130563290846,-1.6423370569288547,-1.2781108352454835,-2.7566383569320125,0.8415593860055132,0.3559380744483996,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-0.3512381780243961,-0.016744927115744407,1,1,0,0,0,0,0,1,1,1,1,0,2.0,
POL-2024012,0,-1.3613819753560952,1.219111628107733,-1.0453335206923888,-1.6423370569288547,-0.35023887102037904,-2.7566383569320125,2.379675911584892,0.3957650972919158,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-1.3659168117875728,1.324706556646354,1,0,1,0,0,0,1,1,0,1,1,0,3.0,
POL-2024013,0,0.7842170596996073,-1.2473823197082188,1.1840951115471827,-0.26004390012392714,-1.2781108352454835,0.7033275530886914,-0.8148975281713671,0.5381400588654149,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,0.9654566665183577,-0.7572256462043315,1,1,0,0,0,0,0,0,1,1,0,0,2.0,3.0
POL-2024014,1,0.9581348960489038,-0.19356850828569888,1.0290210718637092,-0.4328305447245431,-1.2781108352454835,0.584018383777632,-1.6070112315870808,-0.671821412697257,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,0.6301683093543888,-0.6284724381821525,1,1,0,0,1,0,1,0,0,1,0,1,2.0,2.0
POL-2024015,0,0.8372905778343688,-0.19356850828569888,-0.35324382506799606,0.9494626120803845,0.5750734464068629,0.584018383777632,-1.4973907798662973,0.2945649938726749,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,1.2778763302854177,-0.8531111054845922,1,0,0,0,0,1,1,1,0,1,1,0,2.0,4.0
POL-2024016,0,0.8479052814613214,1.88557766019657,1.2989647705719787,-0.08725725552331119,1.0591666470525811,0.10678170653339773,-0.9797580808512375,0.8275591571343006,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,1.3038416477993835,-0.8601936810091974,1,0,0,0,0,0,1,0,0,1,1,0,2.0,3.0
POL-2024017,0,0.6358153378381768,1.1621487193821916,-0.017250072420469265,-0.4328305447245431,-1.2781108352454835,0.22609087584445606,-0.986465480880398,1.5026140142240296,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,1.8213902122669365,-0.9781364152656586,1,1,0,0,0,0,1,0,0,0,1,0,2.0,2.0
POL-2024018,0,-1.0486564761928054,1.88557766019657,1.2453589296937408,0.43110267827853666,1.0591666470525811,0.10678170653339773,0.2880987133842763,0.2702192518281961,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-0.024876513590367483,-0.26966768783921163,1,0,0,0,0,1,1,0,0,1,0,0,2.0,3.0
POL-2024019,0,0.6094827076866989,1.88557766019657,0.6451649612891845,1.1222492566810005,1.0591666470525811,0.584018383777632,0.5484343276257311,-0.08814969294092362,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-0.46808826163636225,0.08970562230462155,1,0,0,0,0,1,1,1,0,0,1,0,2.0,4.0
POL-2024020,1,1.1196008685281218,-0.19356850828569888,1.7239825089637217,-0.6056171893251591,1.0591666470525811,-0.37045497071083766,0.9786852717373625,-0.4806204019145031,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-1.0404516493026577,0.7730741859031715,1,0,0,0,0,0,1,0,0,0,0,0,2.0,2.0
POL-2024021,0,-0.979456773701712,-1.2473823197082188,-1.162117674034264,0.9494626120803845,-0.5063773256899827,0.584018383777632,0.274679952086379,-0.5137565154458248,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-0.5844141249233156,0.20537178743102874,1,0,0,0,0,1,0,1,1,1,0,0,2.0,4.0
POL-2024022,1,1.2541218241081529,-1.2473823197082188,0.5398677738497887,0.9494626120803845,-1.2781108352454835,1.1805642303329258,0.016259008122963485,2.1064189850803454,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,1.5459401376351618,-0.9205300611943535,1,1,0,0,0,1,0,1,0,1,0,0,2.0,4.0
POL-2024023,0,1.6613590113344996,-0.19356850828569888,1.608155602780386,1.4678225458822323,-1.2781108352454835,1.1805642303329258,0.7479938510489812,0.0996875918335428,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-0.471262930252,0.09272959734229723,1,1,0,0,0,1,1,1,1,1,0,0,2.0,4.0
POL-2024024,0,-0.9786402580381003,-0.19356850828569888,0.030612285506528874,0.43110267827853666,1.0591666470525811,0.10678170653339773,-0.24561361351209346,0.4178749247926284,1.9653076103166012,-0.24911339237709276,1.7891341296754666,0.4646123466587705,-0.5528807911123939,1,0,0,0,0,1,1,0,0,1,1,0,2.0,3.0
POL-2024025,0,-0.7259286601502725,-0.19356850828569888,1.5354048187313492,-0.9511904785263909,-1.2781108352454835,0.22609087584445606,1.1914074074752987,0.83089115483509,1.2917186102880382,3.232912062272148,-0.2592925611445454,-0.2510871996273176,-0.1009042431466317,1,1,0,0,0,0,1,1,0,1,0,0,2.0,2.0
POL-2024026,0,-1.3709760344035327,-0.19356850828569888,-1.0979821144120867,0.7766759674797685,-0.4206291579615939,1.5384917382661023,-0.49744933581154177,-0.017235502812359138,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,0.32151025790948246,-0.4800426151529789,1,0,1,0,0,1,1,0,0,1,0,0,3.0,4.0
POL-2024027,1,-1.2091018040925088,1.88557766019657,0.8490586060581964,-0.08725725552331119,1.0591666470525811,0.46470921446657376,0.15752675393528764,-0.7192741108943691,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-0.6506824784001465,0.2759683592540944,1,0,0,0,1,0,1,0,0,0,0,1,2.0,3.0
POL-2024028,0,-0.5203708418360216,-1.2473823197082188,0.5733714243986873,0.6038893228791525,1.0591666470525811,0.22609087584445606,-0.7405977071253892,-0.588138958798354,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,0.07263771819373503,-0.3342774431318104,1,0,0,0,1,1,0,1,0,1,0,1,1.0,4.0
POL-2024029,0,-1.08866574370978,-0.19356850828569888,-0.15605091040876395,0.6038893228791525,0.8387170665866855,0.584018383777632,0.16788004200577455,-0.6783010237469107,-0.5680723321651943,-0.24911339237709276,-0.3547572982755132,-0.6285383009357233,0.25198040574278086,1,0,0,0,0,1,1,1,0,1,1,0,2.0,4.0
